muni,shapeName,pop_2024,is_north,n_buildings,footprint_m2,volume_m3,median_h_m,n_buildings_25,volume_m3_25,vol_per_resident,vol_per_resident_25,rank_all,rank_25
Deçan,Municipality of Deçan,27775,FALSE,15852,2476867.0031600287,8330207.788554282,2.957240104675293,10243,7171428.866456146,299.91747213516766,258.1972589183131,17,17
Dragash,Municipality of Dragash,28896,FALSE,14869,1633976.5400434132,6241434.753470714,3.2801966667175293,10701,5678559.548306701,215.9964961749278,196.51714937384762,30,27
Drenas,Municipality of Drenas,48079,FALSE,27074,3194988.730641442,12260720.434918752,2.549460530281067,13806,10715283.94979814,255.01196852926958,222.8682782461811,22,22
Ferizaj,Municipality of Ferizaj,109255,FALSE,47497,6180344.830554662,22034295.23143564,2.6071600914001465,24844,18857292.77124097,201.67768277365468,172.59889955828996,32,33
Fushë Kosova,Municipality of Fushë Kosovë,63949,FALSE,15132,2255999.0078318017,11280585.624134492,2.289640188217163,6988,10226152.818003144,176.39971890310235,159.9110669127452,37,37
Gjakova,Municipality of Gjakova,78699,FALSE,39834,5519874.546373775,26038896.412616536,3.7342848777770996,29273,24505009.74295577,330.86692858380076,311.37638016945283,12,11
Gjilan,Municipality of Gjilan,82980,FALSE,41114,5141060.651436391,22416613.38696509,3.2621188163757324,27642,20645470.107840084,270.1447744874077,248.80055565003715,20,20
Graçanica,Municipality of Gracanica,18486,FALSE,13946,2076342.9059994132,7852370.803761429,2.0961337089538574,5680,6728385.791279025,424.77392641790703,363.9719675040044,7,8
Hani i Elezit,Municipality of Han i Elezit,8533,FALSE,2996,402014.92090406304,1473007.7192818285,2.698255181312561,1727,1258104.4946948276,172.62483526096665,147.43987984235645,38,38
Istog,Municipality of Istog,33008,FALSE,22617,2684210.9525406887,10657208.373464145,2.9366822242736816,13674,9605585.807485962,322.86743739287886,291.00781045461594,14,14
Junik,Municipality of Junik,3943,FALSE,2399,300334.7384916955,953489.1281415453,2.6928787231445313,1350,778677.0529881904,241.8181912608535,197.48340172158012,23,26
Kamenica,Municipality of Kamenica,22868,FALSE,17761,1874515.2399557824,6483267.90970402,2.9205033779144287,10932,5687453.30030859,283.50830460486355,248.707945614334,18,21
Kaçanik,Municipality of Kaçanik,27716,FALSE,13675,1531474.6167181195,5479245.376949175,2.9794106483459473,8684,4847706.049153934,197.69250169393763,174.90640962454663,34,32
Klina,Municipality of Klina,30503,FALSE,19454,2358883.127395516,9179373.64814479,2.9108976125717163,11666,8244914.75596394,300.9334704174931,270.298487229582,16,15
Kllokot,Municipality of Kllokot,3041,FALSE,2781,390110.35971280065,1567433.7106043608,2.636359214782715,1500,1399922.3999708416,515.4336437370473,460.34935875397616,5,5
Leposaviq,Municipality of Leposaviq,9485,TRUE,15082,1161451.918221798,4150035.860568297,2.9135639667510986,9214,3629769.8982522753,437.53672752433283,382.68528183998683,6,6
Lipjan,Municipality of Lipjan,55044,FALSE,30085,3585836.308314273,12243569.88482102,2.090902805328369,12242,10107716.540469153,222.4324156097126,183.62976056371545,28,31
Malisheva,Municipality of Malisheva,43888,FALSE,24749,3020359.497500567,10538022.908016218,2.7288732528686523,13851,8915198.642272774,240.11171409078148,203.1352224360366,24,25
Mamushë,Municipality of Mamusha,5607,FALSE,3100,923952.0396122851,4065245.84064637,3.6057910919189453,2501,3828177.520558251,725.0304691718155,682.7496915566704,3,3
Mitrovica,Municipality of Mitrovica,64742,FALSE,23635,2907531.157609346,14864002.211501673,3.417130470275879,16522,14086350.877680536,229.5882458296264,217.5767025683565,25,23
Mitrovica e Veriut,Municipality of North Mitrovica,7920,TRUE,2564,339141.85405741545,2580338.096873014,4.2160420417785645,2318,2554650.862397873,325.80026475669365,322.55692707043846,13,9
Novobërdë,Municipality of Novobërdë,4493,FALSE,2776,283365.84264696774,999596.9417446055,2.6810476779937744,1503,866248.5369724095,222.4787317481873,192.79958534885589,27,28
Obiliq,Municipality of Obiliq,22815,FALSE,13130,1814119.5778479846,7799878.608870493,2.136356830596924,5296,6784133.864908335,341.87502120843715,297.354103217547,9,12
Partesh,Municipality of Partesh,3240,FALSE,3219,368490.4742747637,1356955.6618324895,3.0060946941375732,2135,1208012.0626972879,418.81347587422516,372.84322922755797,8,7
Peja,Municipality of Peja,82745,FALSE,36801,5491893.944049073,22742655.79570255,3.3117406368255615,25592,20897491.30871407,274.8523269768874,252.55291931493227,19,19
Podujeva,Municipality of Podujeva,70975,FALSE,44256,4618528.415181528,14445895.667120352,2.468131422996521,21760,11648447.993616521,203.53498650398524,164.120436683572,31,36
Prishtina,Municipality of Pristina,227466,FALSE,50722,7789291.916652508,45288195.4639868,3.553903341293335,33886,43133757.33182275,199.0987464675459,189.62727322686797,33,29
Prizren,Municipality of Prizren,147246,FALSE,55797,7559258.2827238785,33645517.84366072,3.5001957416534424,41800,31367653.440352652,228.49868820654362,213.02890021021048,26,24
Rahovec,Municipality of Rahovec,41799,FALSE,22764,3188686.7755591404,14247125.782592569,3.6182503700256348,16329,13284419.334266594,340.848483997047,317.816678252269,10,10
Ranillug,Municipality of Ranillug,2481,FALSE,5247,576931.0949758448,2100120.868882884,3.2481465339660645,3723,1910138.2359761586,846.4816077722224,769.9065844321477,2,2
Shtime,Municipality of Shtime,24308,FALSE,12556,1414346.7306035068,4725551.3124607615,2.7308074235916138,6965,4008978.4075507466,194.40313116919376,164.92423924431242,36,34
Shtërpca,Municipality of Shtërpcë,10771,FALSE,6727,655303.680858405,2898239.3960736296,3.7160961627960205,5493,2773800.520141446,269.0780239600436,257.5248834965598,21,18
Skenderaj,Municipality of Skenderaj,40664,FALSE,23713,2370557.1903450927,8003756.4147366835,2.4386520385742188,11508,6682276.454994804,196.82658899116376,164.32904915883347,35,35
Suhareka,Municipality of Suhareka,45749,FALSE,27235,3945515.8785115075,15417558.5847477,2.8668365478515625,16177,13553104.578546135,337.003182249835,296.249198420646,11,13
Viti,Municipality of Viti,35566,FALSE,26239,3193625.727951648,10884573.329389635,2.694263458251953,14552,9390402.67156021,306.0387260133171,264.0275170544961,15,16
Vushtrri,Municipality of Vushtrri,61528,FALSE,31756,3451842.2040317715,13443020.174448129,2.5757211446762085,16433,11638164.564778188,218.48622049226577,189.1523300737581,29,30
Zubin Potok,Municipality of Zubin Potok,3385,TRUE,6059,505413.1210073468,1929254.9062587149,2.8778011798858643,3632,1705418.103161928,569.9423652167548,503.8162786298162,4,4
Zveçan,Municipality of Zveçan,2867,TRUE,5223,580003.4641820733,2649580.465195165,3.5454459190368652,4013,2526035.023439659,924.1647942780485,881.0725578791973,1,1
