muni,shapeName,pop_2024,is_north
Deçan,Municipality of Deçan,27775,FALSE
Dragash,Municipality of Dragash,28896,FALSE
Drenas,Municipality of Drenas,48079,FALSE
Ferizaj,Municipality of Ferizaj,109255,FALSE
Fushë Kosova,Municipality of Fushë Kosovë,63949,FALSE
Gjakova,Municipality of Gjakova,78699,FALSE
Gjilan,Municipality of Gjilan,82980,FALSE
Graçanica,Municipality of Gracanica,18486,FALSE
Hani i Elezit,Municipality of Han i Elezit,8533,FALSE
Istog,Municipality of Istog,33008,FALSE
Junik,Municipality of Junik,3943,FALSE
Kamenica,Municipality of Kamenica,22868,FALSE
Kaçanik,Municipality of Kaçanik,27716,FALSE
Klina,Municipality of Klina,30503,FALSE
Kllokot,Municipality of Kllokot,3041,FALSE
Leposaviq,Municipality of Leposaviq,9485,TRUE
Lipjan,Municipality of Lipjan,55044,FALSE
Malisheva,Municipality of Malisheva,43888,FALSE
Mamushë,Municipality of Mamusha,5607,FALSE
Mitrovica,Municipality of Mitrovica,64742,FALSE
Mitrovica e Veriut,Municipality of North Mitrovica,7920,TRUE
Novobërdë,Municipality of Novobërdë,4493,FALSE
Obiliq,Municipality of Obiliq,22815,FALSE
Partesh,Municipality of Partesh,3240,FALSE
Peja,Municipality of Peja,82745,FALSE
Podujeva,Municipality of Podujeva,70975,FALSE
Prishtina,Municipality of Pristina,227466,FALSE
Prizren,Municipality of Prizren,147246,FALSE
Rahovec,Municipality of Rahovec,41799,FALSE
Ranillug,Municipality of Ranillug,2481,FALSE
Shtime,Municipality of Shtime,24308,FALSE
Shtërpca,Municipality of Shtërpcë,10771,FALSE
Skenderaj,Municipality of Skenderaj,40664,FALSE
Suhareka,Municipality of Suhareka,45749,FALSE
Viti,Municipality of Viti,35566,FALSE
Vushtrri,Municipality of Vushtrri,61528,FALSE
Zubin Potok,Municipality of Zubin Potok,3385,TRUE
Zveçan,Municipality of Zveçan,2867,TRUE
