Year,Municipality,Sex,Age,population
2024,KOSOVA,Total,0,20592
2024,KOSOVA,Total,1,21569
2024,KOSOVA,Total,2,22512
2024,KOSOVA,Total,3,21354
2024,KOSOVA,Total,4,22227
2024,KOSOVA,Total,5,23001
2024,KOSOVA,Total,6,23216
2024,KOSOVA,Total,7,23498
2024,KOSOVA,Total,8,23706
2024,KOSOVA,Total,9,24408
2024,KOSOVA,Total,10,24759
2024,KOSOVA,Total,11,24735
2024,KOSOVA,Total,12,25158
2024,KOSOVA,Total,13,24651
2024,KOSOVA,Total,14,24510
2024,KOSOVA,Total,15,24708
2024,KOSOVA,Total,16,24760
2024,KOSOVA,Total,17,24078
2024,KOSOVA,Total,18,24613
2024,KOSOVA,Total,19,25346
2024,KOSOVA,Total,20,25254
2024,KOSOVA,Total,21,26531
2024,KOSOVA,Total,22,27539
2024,KOSOVA,Total,23,31851
2024,KOSOVA,Total,24,23989
2024,KOSOVA,Total,25,23079
2024,KOSOVA,Total,26,23081
2024,KOSOVA,Total,27,23196
2024,KOSOVA,Total,28,22715
2024,KOSOVA,Total,29,22239
2024,KOSOVA,Total,30,22333
2024,KOSOVA,Total,31,22393
2024,KOSOVA,Total,32,22238
2024,KOSOVA,Total,33,21667
2024,KOSOVA,Total,34,21680
2024,KOSOVA,Total,35,21322
2024,KOSOVA,Total,36,21457
2024,KOSOVA,Total,37,21256
2024,KOSOVA,Total,38,20914
2024,KOSOVA,Total,39,20160
2024,KOSOVA,Total,40,21044
2024,KOSOVA,Total,41,20896
2024,KOSOVA,Total,42,20928
2024,KOSOVA,Total,43,20797
2024,KOSOVA,Total,44,20798
2024,KOSOVA,Total,45,20714
2024,KOSOVA,Total,46,21029
2024,KOSOVA,Total,47,21205
2024,KOSOVA,Total,48,22107
2024,KOSOVA,Total,49,21587
2024,KOSOVA,Total,50,20579
2024,KOSOVA,Total,51,20608
2024,KOSOVA,Total,52,20378
2024,KOSOVA,Total,53,19360
2024,KOSOVA,Total,54,20406
2024,KOSOVA,Total,55,19034
2024,KOSOVA,Total,56,18960
2024,KOSOVA,Total,57,18090
2024,KOSOVA,Total,58,18077
2024,KOSOVA,Total,59,17974
2024,KOSOVA,Total,60,17616
2024,KOSOVA,Total,61,16319
2024,KOSOVA,Total,62,16295
2024,KOSOVA,Total,63,16462
2024,KOSOVA,Total,64,15042
2024,KOSOVA,Total,65,15485
2024,KOSOVA,Total,66,13115
2024,KOSOVA,Total,67,13531
2024,KOSOVA,Total,68,12618
2024,KOSOVA,Total,69,12977
2024,KOSOVA,Total,70,11376
2024,KOSOVA,Total,71,11062
2024,KOSOVA,Total,72,8983
2024,KOSOVA,Total,73,9526
2024,KOSOVA,Total,74,8733
2024,KOSOVA,Total,75,7543
2024,KOSOVA,Total,76,7226
2024,KOSOVA,Total,77,6518
2024,KOSOVA,Total,78,5418
2024,KOSOVA,Total,79,5388
2024,KOSOVA,Total,80,4779
2024,KOSOVA,Total,81,4429
2024,KOSOVA,Total,82,3361
2024,KOSOVA,Total,83,3356
2024,KOSOVA,Total,84,2783
2024,KOSOVA,Total,85+,9708
2024,KOSOVA,Total,Total,1602515
2024,Deçan,Total,0,318
2024,Deçan,Total,1,314
2024,Deçan,Total,2,350
2024,Deçan,Total,3,343
2024,Deçan,Total,4,339
2024,Deçan,Total,5,362
2024,Deçan,Total,6,366
2024,Deçan,Total,7,393
2024,Deçan,Total,8,394
2024,Deçan,Total,9,381
2024,Deçan,Total,10,419
2024,Deçan,Total,11,394
2024,Deçan,Total,12,443
2024,Deçan,Total,13,408
2024,Deçan,Total,14,413
2024,Deçan,Total,15,420
2024,Deçan,Total,16,406
2024,Deçan,Total,17,400
2024,Deçan,Total,18,454
2024,Deçan,Total,19,414
2024,Deçan,Total,20,430
2024,Deçan,Total,21,435
2024,Deçan,Total,22,404
2024,Deçan,Total,23,504
2024,Deçan,Total,24,404
2024,Deçan,Total,25,390
2024,Deçan,Total,26,392
2024,Deçan,Total,27,390
2024,Deçan,Total,28,371
2024,Deçan,Total,29,372
2024,Deçan,Total,30,361
2024,Deçan,Total,31,375
2024,Deçan,Total,32,361
2024,Deçan,Total,33,362
2024,Deçan,Total,34,338
2024,Deçan,Total,35,378
2024,Deçan,Total,36,314
2024,Deçan,Total,37,326
2024,Deçan,Total,38,318
2024,Deçan,Total,39,289
2024,Deçan,Total,40,357
2024,Deçan,Total,41,319
2024,Deçan,Total,42,368
2024,Deçan,Total,43,307
2024,Deçan,Total,44,349
2024,Deçan,Total,45,373
2024,Deçan,Total,46,365
2024,Deçan,Total,47,375
