muni,shapeName,pxweb_pop,pxweb_vac,note
Deçan,Municipality of Deçan,Deçan,Deçan,
Dragash,Municipality of Dragash,Dragash,Dragash,
Drenas,Municipality of Drenas,Gllogovc,Gllogoc,DUAL NAME: Drenas = Gllogoc/Gllogovc
Ferizaj,Municipality of Ferizaj,Ferizaj,Ferizaj,
Fushë Kosova,Municipality of Fushë Kosovë,Fushë Kosovë,Fushë Kosovë,display uses definite 'Kosova'
Gjakova,Municipality of Gjakova,Gjakovë,Gjakovë,
Gjilan,Municipality of Gjilan,Gjilan,Gjilan,
Graçanica,Municipality of Gracanica,Graçanicë,Graçanicë,
Hani i Elezit,Municipality of Han i Elezit,Hani i Elezit,Hani i Elezit,
Istog,Municipality of Istog,Istog,Istog,
Junik,Municipality of Junik,Junik,Junik,
Kamenica,Municipality of Kamenica,Kamenicë,Kamenicë,
Kaçanik,Municipality of Kaçanik,Kaçanik,Kaçanik,
Klina,Municipality of Klina,Klinë,Klinë,
Kllokot,Municipality of Kllokot,Kllokot,Kllokot,
Leposaviq,Municipality of Leposaviq,Leposaviq,Leposaviq,NORTH (2024 estimate)
Lipjan,Municipality of Lipjan,Lipjan,Lipjan,
Malisheva,Municipality of Malisheva,Malishevë,Malishevë,
Mamushë,Municipality of Mamusha,Mamushë,Mamushë,
Mitrovica,Municipality of Mitrovica,Mitrovicë,Mitrovicë,
Mitrovica e Veriut,Municipality of North Mitrovica,Mitrovica Veriore,Mitrovicë e Veriut,NORTH (2024 estimate); 3 name variants
Novobërdë,Municipality of Novobërdë,Novobërdë,Novobërdë,
Obiliq,Municipality of Obiliq,Obiliq,Obiliq,
Partesh,Municipality of Partesh,Partesh,Partesh,Serb-majority south
Peja,Municipality of Peja,Pejë,Pejë,
Podujeva,Municipality of Podujeva,Podujevë,Podujevë,
Prishtina,Municipality of Pristina,Prishtinë,Prishtinë,
Prizren,Municipality of Prizren,Prizren,Prizren,
Rahovec,Municipality of Rahovec,Rahovec,Rahovec,
Ranillug,Municipality of Ranillug,Ranillug,Ranillug,Serb-majority south
Shtime,Municipality of Shtime,Shtime,Shtime,
Shtërpca,Municipality of Shtërpcë,Shtërpcë,Shtërpcë,Serb-majority south
Skenderaj,Municipality of Skenderaj,Skenderaj,Skënderaj,
Suhareka,Municipality of Suhareka,Suharekë,Suharekë,
Viti,Municipality of Viti,Viti,Viti,
Vushtrri,Municipality of Vushtrri,Vushtrri,Vushtrri,
Zubin Potok,Municipality of Zubin Potok,Zubin Potok,Zubin Potok,NORTH (2024 estimate)
Zveçan,Municipality of Zveçan,Zveqan,Zveqan,NORTH (2024 estimate)
