shapeName,muni,pop_2011,pop_2024,pop_change_pct,has_2011,conventional_2011,vacant_2011,vac_share_2011,conventional_2024,vacant_2024,vac_share_2024,is_north,is_serb_south,in_scatter
Municipality of Partesh,Partesh,1787,3240,81.30945719082261,TRUE,433,203,46.88221709006928,1067,174,16.307403936269914,FALSE,TRUE,FALSE
Municipality of Dragash,Dragash,33997,28896,-15.004265082213136,TRUE,7137,2813,39.41431974218859,10817,4693,43.38541185171489,FALSE,FALSE,TRUE
Municipality of Rahovec,Rahovec,56208,41799,-25.635140905209223,TRUE,8799,2448,27.821343334469827,13547,3784,27.932383553554292,FALSE,FALSE,TRUE
Municipality of Shtërpcë,Shtërpca,6949,10771,55.00071952798964,TRUE,1603,619,38.615096693699314,4397,1433,32.59040254719127,FALSE,TRUE,FALSE
Municipality of Kamenica,Kamenica,36085,22868,-36.62740751004573,TRUE,6336,2283,36.03219696969697,9587,3356,35.0057369354334,FALSE,FALSE,TRUE
Municipality of Fushë Kosovë,Fushë Kosova,34827,63949,83.61903121141643,TRUE,6727,2959,43.98691838858332,27628,10597,38.356015636310985,FALSE,FALSE,TRUE
Municipality of Novobërdë,Novobërdë,6729,4493,-33.229305989002825,TRUE,1457,1040,71.37954701441318,1813,591,32.597904026475454,FALSE,FALSE,TRUE
Municipality of Istog,Istog,39289,33008,-15.98666293364555,TRUE,7359,2204,29.94972142954206,13084,5385,41.15713848975848,FALSE,FALSE,TRUE
Municipality of Prizren,Prizren,177781,147246,-17.175626191775272,TRUE,30502,9123,29.90951413022097,48981,16842,34.384761438108654,FALSE,FALSE,TRUE
Municipality of Pristina,Prishtina,198897,227466,14.363715893150726,TRUE,43943,15402,35.04995107298091,86530,25195,29.1170692245464,FALSE,FALSE,TRUE
Municipality of Han i Elezit,Hani i Elezit,9403,8533,-9.252366266085293,TRUE,1473,243,16.4969450101833,1914,279,14.576802507836993,FALSE,FALSE,TRUE
Municipality of North Mitrovica,Mitrovica e Veriut,NA,7920,NA,FALSE,NA,NA,NA,833,154,18.48739495798319,TRUE,FALSE,FALSE
Municipality of Kllokot,Kllokot,2556,3041,18.974960876369327,TRUE,506,224,44.26877470355731,893,203,22.732362821948488,FALSE,TRUE,FALSE
Municipality of Ferizaj,Ferizaj,108610,109255,0.5938679679587515,TRUE,18456,7094,38.437364542696145,39501,15228,38.55092276144908,FALSE,FALSE,TRUE
Municipality of Drenas,Drenas,58531,48079,-17.85720387486973,TRUE,9030,2975,32.945736434108525,12910,2725,21.107668474051124,FALSE,FALSE,TRUE
Municipality of Deçan,Deçan,40019,27775,-30.595467153102277,TRUE,6262,1429,22.820185244330883,9839,3030,30.79581258257953,FALSE,FALSE,TRUE
Municipality of Mitrovica,Mitrovica,71909,64742,-9.966763548373638,TRUE,13618,3782,27.77206638272874,22455,7806,34.76285905143621,FALSE,FALSE,TRUE
