muni_ask,pop_2011,pop_2024,pop_change_abs,pop_change_pct,has_2011
Deçan,40019,27775,-12244,-30.595467153102277,TRUE
Gjakovë,94556,78699,-15857,-16.769956427936883,TRUE
Gllogovc,58531,48079,-10452,-17.85720387486973,TRUE
Gjilan,90178,82980,-7198,-7.981991173013373,TRUE
Dragash,33997,28896,-5101,-15.004265082213136,TRUE
Istog,39289,33008,-6281,-15.98666293364555,TRUE
Kaçanik,33409,27716,-5693,-17.04031847705708,TRUE
Klinë,38496,30503,-7993,-20.763196176226103,TRUE
Fushë Kosovë,34827,63949,29122,83.61903121141643,TRUE
Kamenicë,36085,22868,-13217,-36.62740751004573,TRUE
Mitrovicë,71909,64742,-7167,-9.966763548373638,TRUE
Leposaviq,NA,9485,NA,NA,FALSE
Lipjan,57605,55044,-2561,-4.445794635882302,TRUE
Novobërdë,6729,4493,-2236,-33.229305989002825,TRUE
Obiliq,21549,22815,1266,5.874982597800362,TRUE
Rahovec,56208,41799,-14409,-25.635140905209223,TRUE
Pejë,96450,82745,-13705,-14.209434940383618,TRUE
Podujevë,88499,70975,-17524,-19.801353687612288,TRUE
Prishtinë,198897,227466,28569,14.363715893150726,TRUE
Prizren,177781,147246,-30535,-17.175626191775272,TRUE
Skenderaj,50858,40664,-10194,-20.04404420150222,TRUE
Shtime,27324,24308,-3016,-11.037915385741472,TRUE
Shtërpcë,6949,10771,3822,55.00071952798964,TRUE
Suharekë,59722,45749,-13973,-23.396738220421284,TRUE
Ferizaj,108610,109255,645,0.5938679679587515,TRUE
Viti,46987,35566,-11421,-24.306723136186605,TRUE
Vushtrri,69870,61528,-8342,-11.939315872334335,TRUE
Zubin Potok,NA,3385,NA,NA,FALSE
Zveqan,NA,2867,NA,NA,FALSE
Malishevë,54613,43888,-10725,-19.63818138538443,TRUE
Junik,6084,3943,-2141,-35.190664036817886,TRUE
Mamushë,5507,5607,100,1.8158707100054476,TRUE
Hani i Elezit,9403,8533,-870,-9.252366266085293,TRUE
Graçanicë,10675,18486,7811,73.17096018735363,TRUE
Ranillug,3866,2481,-1385,-35.825142265907914,TRUE
Partesh,1787,3240,1453,81.30945719082261,TRUE
Kllokot,2556,3041,485,18.974960876369327,TRUE
Mitrovica Veriore,NA,7920,NA,NA,FALSE
