muni_ask,conventional_2024,vacant_2024,conventional_2011,vacant_2011,vac_share_2024,vac_share_2011
KOSOVA,556779,182849,312711,99808,32.84049865386446,31.917009635094384
Deçan,9839,3030,6262,1429,30.79581258257953,22.820185244330883
Gjakovë,26628,8360,17283,4520,31.39552350908818,26.15286697911242
Gllogoc,12910,2725,9030,2975,21.107668474051124,32.945736434108525
Gjilan,32578,12656,18314,4987,38.84830253545337,27.230534017691383
Dragash,10817,4693,7137,2813,43.38541185171489,39.414319742188596
Istog,13084,5385,7359,2204,41.15713848975848,29.94972142954206
Kaçanik,8276,2449,5731,1552,29.59159014016433,27.080788693072762
Klinë,11192,4514,6369,1756,40.33238027162259,27.57104726016643
Fushë Kosovë,27628,10597,6727,2959,38.356015636310985,43.98691838858332
Kamenicë,9587,3356,6336,2283,35.0057369354334,36.03219696969697
Mitrovicë,22455,7806,13618,3782,34.76285905143621,27.77206638272874
Leposaviq,1592,317,NA,NA,19.912060301507537,NA
Lipjan,18697,6589,10166,3476,35.24094774562764,34.192406059413734
Novobërdë,1813,591,1457,1040,32.597904026475454,71.37954701441318
Obiliq,6020,1094,3906,1541,18.172757475083056,39.452124935995904
Rahovec,13547,3784,8799,2448,27.932383553554292,27.821343334469827
Pejë,31089,8062,17936,7554,25.932001672617325,42.1164139161463
Podujevë,23055,6486,14194,3809,28.132726089785297,26.8352825137382
Prishtinë,86530,25195,43943,15402,29.117069224546402,35.04995107298091
Prizren,48981,16842,30502,9123,34.384761438108654,29.90951413022097
Skënderaj,13597,4347,7708,2770,31.97028756343311,35.93668915412558
Shtime,6764,1773,4383,1841,26.21230041395624,42.003194159251656
Shtërpcë,4397,1433,1603,619,32.59040254719127,38.615096693699314
Suharekë,17046,6929,10674,2059,40.64883257069107,19.289863219036913
Ferizaj,39501,15228,18456,7094,38.55092276144908,38.437364542696145
Viti,12843,5031,8369,2861,39.17309039943938,34.185685267056996
Vushtrri,20160,6476,12107,2985,32.12301587301587,24.655158172957794
Zubin Potok,276,91,NA,NA,32.971014492753625,NA
Zveqan,199,83,NA,NA,41.70854271356784,NA
Malishevë,12645,4232,7291,1681,33.46777382364571,23.055822246605405
Junik,1277,413,765,17,32.34142521534847,2.2222222222222223
Mamushë,859,79,518,149,9.19674039580908,28.764478764478763
Hani i Elezit,1914,279,1473,243,14.576802507836991,16.4969450101833
Graçanicë,5289,1157,2415,962,21.875590848931743,39.834368530020704
Ranillug,901,236,941,447,26.193118756936737,47.502656748140275
Partesh,1067,174,433,203,16.307403936269914,46.88221709006928
Kllokot,893,203,506,224,22.732362821948488,44.26877470355731
Mitrovicë e Veriut,833,154,NA,NA,18.48739495798319,NA
