Municipality,Year,Select the variable,value
KOSOVA,2024,uilding with at least one habitable conventional dwelling,274116
KOSOVA,2024,Average number of dwellings per building (%),2.03
KOSOVA,2024,Number of conventional dwellings,556779
KOSOVA,2024,Number of vacant dwellings,182849
KOSOVA,2011,uilding with at least one habitable conventional dwelling,247949
KOSOVA,2011,Average number of dwellings per building (%),1.26
KOSOVA,2011,Number of conventional dwellings,312711
KOSOVA,2011,Number of vacant dwellings,99808
Deçan,2024,uilding with at least one habitable conventional dwelling,5536
Deçan,2024,Average number of dwellings per building (%),1.78
Deçan,2024,Number of conventional dwellings,9839
Deçan,2024,Number of vacant dwellings,3030
Deçan,2011,uilding with at least one habitable conventional dwelling,5203
Deçan,2011,Average number of dwellings per building (%),1.2
Deçan,2011,Number of conventional dwellings,6262
Deçan,2011,Number of vacant dwellings,1429
Gjakovë,2024,uilding with at least one habitable conventional dwelling,13857
Gjakovë,2024,Average number of dwellings per building (%),1.92
Gjakovë,2024,Number of conventional dwellings,26628
Gjakovë,2024,Number of vacant dwellings,8360
Gjakovë,2011,uilding with at least one habitable conventional dwelling,12990
Gjakovë,2011,Average number of dwellings per building (%),1.33
Gjakovë,2011,Number of conventional dwellings,17283
Gjakovë,2011,Number of vacant dwellings,4520
Gllogoc,2024,uilding with at least one habitable conventional dwelling,9022
Gllogoc,2024,Average number of dwellings per building (%),1.43
Gllogoc,2024,Number of conventional dwellings,12910
Gllogoc,2024,Number of vacant dwellings,2725
Gllogoc,2011,uilding with at least one habitable conventional dwelling,8096
Gllogoc,2011,Average number of dwellings per building (%),1.12
Gllogoc,2011,Number of conventional dwellings,9030
Gllogoc,2011,Number of vacant dwellings,2975
Gjilan,2024,uilding with at least one habitable conventional dwelling,15655
Gjilan,2024,Average number of dwellings per building (%),2.08
Gjilan,2024,Number of conventional dwellings,32578
Gjilan,2024,Number of vacant dwellings,12656
Gjilan,2011,uilding with at least one habitable conventional dwelling,14660
Gjilan,2011,Average number of dwellings per building (%),1.25
Gjilan,2011,Number of conventional dwellings,18314
Gjilan,2011,Number of vacant dwellings,4987
Dragash,2024,uilding with at least one habitable conventional dwelling,5726
Dragash,2024,Average number of dwellings per building (%),1.89
Dragash,2024,Number of conventional dwellings,10817
Dragash,2024,Number of vacant dwellings,4693
Dragash,2011,uilding with at least one habitable conventional dwelling,5532
Dragash,2011,Average number of dwellings per building (%),1.29
Dragash,2011,Number of conventional dwellings,7137
Dragash,2011,Number of vacant dwellings,2813
Istog,2024,uilding with at least one habitable conventional dwelling,6824
Istog,2024,Average number of dwellings per building (%),1.92
Istog,2024,Number of conventional dwellings,13084
Istog,2024,Number of vacant dwellings,5385
Istog,2011,uilding with at least one habitable conventional dwelling,6079
Istog,2011,Average number of dwellings per building (%),1.21
Istog,2011,Number of conventional dwellings,7359
Istog,2011,Number of vacant dwellings,2204
Kaçanik,2024,uilding with at least one habitable conventional dwelling,5260
Kaçanik,2024,Average number of dwellings per building (%),1.57
Kaçanik,2024,Number of conventional dwellings,8276
Kaçanik,2024,Number of vacant dwellings,2449
Kaçanik,2011,uilding with at least one habitable conventional dwelling,4938
Kaçanik,2011,Average number of dwellings per building (%),1.16
Kaçanik,2011,Number of conventional dwellings,5731
Kaçanik,2011,Number of vacant dwellings,1552
Klinë,2024,uilding with at least one habitable conventional dwelling,5883
Klinë,2024,Average number of dwellings per building (%),1.9
Klinë,2024,Number of conventional dwellings,11192
Klinë,2024,Number of vacant dwellings,4514
Klinë,2011,uilding with at least one habitable conventional dwelling,5210
Klinë,2011,Average number of dwellings per building (%),1.22
Klinë,2011,Number of conventional dwellings,6369
Klinë,2011,Number of vacant dwellings,1756
Fushë Kosovë,2024,uilding with at least one habitable conventional dwelling,5946
Fushë Kosovë,2024,Average number of dwellings per building (%),4.65
Fushë Kosovë,2024,Number of conventional dwellings,27628
Fushë Kosovë,2024,Number of vacant dwellings,10597
Fushë Kosovë,2011,uilding with at least one habitable conventional dwelling,5169
Fushë Kosovë,2011,Average number of dwellings per building (%),1.3
Fushë Kosovë,2011,Number of conventional dwellings,6727
Fushë Kosovë,2011,Number of vacant dwellings,2959
Kamenicë,2024,uilding with at least one habitable conventional dwelling,5677
Kamenicë,2024,Average number of dwellings per building (%),1.69
Kamenicë,2024,Number of conventional dwellings,9587
Kamenicë,2024,Number of vacant dwellings,3356
Kamenicë,2011,uilding with at least one habitable conventional dwelling,5727
Kamenicë,2011,Average number of dwellings per building (%),1.11
Kamenicë,2011,Number of conventional dwellings,6336
Kamenicë,2011,Number of vacant dwellings,2283
Mitrovicë,2024,uilding with at least one habitable conventional dwelling,10630
Mitrovicë,2024,Average number of dwellings per building (%),2.11
Mitrovicë,2024,Number of conventional dwellings,22455
Mitrovicë,2024,Number of vacant dwellings,7806
Mitrovicë,2011,uilding with at least one habitable conventional dwelling,10251
Mitrovicë,2011,Average number of dwellings per building (%),1.33
Mitrovicë,2011,Number of conventional dwellings,13618
Mitrovicë,2011,Number of vacant dwellings,3782
Leposaviq,2024,uilding with at least one habitable conventional dwelling,1154
Leposaviq,2024,Average number of dwellings per building (%),1.38
Leposaviq,2024,Number of conventional dwellings,1592
Leposaviq,2024,Number of vacant dwellings,317
Leposaviq,2011,uilding with at least one habitable conventional dwelling,NA
Leposaviq,2011,Average number of dwellings per building (%),NA
Leposaviq,2011,Number of conventional dwellings,NA
Leposaviq,2011,Number of vacant dwellings,NA
Lipjan,2024,uilding with at least one habitable conventional dwelling,9664
Lipjan,2024,Average number of dwellings per building (%),1.93
Lipjan,2024,Number of conventional dwellings,18697
Lipjan,2024,Number of vacant dwellings,6589
Lipjan,2011,uilding with at least one habitable conventional dwelling,8695
Lipjan,2011,Average number of dwellings per building (%),1.17
Lipjan,2011,Number of conventional dwellings,10166
Lipjan,2011,Number of vacant dwellings,3476
Novobërdë,2024,uilding with at least one habitable conventional dwelling,1002
Novobërdë,2024,Average number of dwellings per building (%),1.81
Novobërdë,2024,Number of conventional dwellings,1813
Novobërdë,2024,Number of vacant dwellings,591
Novobërdë,2011,uilding with at least one habitable conventional dwelling,1362
Novobërdë,2011,Average number of dwellings per building (%),1.07
Novobërdë,2011,Number of conventional dwellings,1457
Novobërdë,2011,Number of vacant dwellings,1040
Obiliq,2024,uilding with at least one habitable conventional dwelling,4406
Obiliq,2024,Average number of dwellings per building (%),1.37
Obiliq,2024,Number of conventional dwellings,6020
Obiliq,2024,Number of vacant dwellings,1094
Obiliq,2011,uilding with at least one habitable conventional dwelling,3379
Obiliq,2011,Average number of dwellings per building (%),1.16
Obiliq,2011,Number of conventional dwellings,3906
Obiliq,2011,Number of vacant dwellings,1541
Rahovec,2024,uilding with at least one habitable conventional dwelling,8822
Rahovec,2024,Average number of dwellings per building (%),1.54
Rahovec,2024,Number of conventional dwellings,13547
Rahovec,2024,Number of vacant dwellings,3784
Rahovec,2011,uilding with at least one habitable conventional dwelling,7691
Rahovec,2011,Average number of dwellings per building (%),1.14
Rahovec,2011,Number of conventional dwellings,8799
Rahovec,2011,Number of vacant dwellings,2448
Pejë,2024,uilding with at least one habitable conventional dwelling,15590
Pejë,2024,Average number of dwellings per building (%),1.99
Pejë,2024,Number of conventional dwellings,31089
Pejë,2024,Number of vacant dwellings,8062
Pejë,2011,uilding with at least one habitable conventional dwelling,14049
Pejë,2011,Average number of dwellings per building (%),1.28
Pejë,2011,Number of conventional dwellings,17936
Pejë,2011,Number of vacant dwellings,7554
Podujevë,2024,uilding with at least one habitable conventional dwelling,14040
Podujevë,2024,Average number of dwellings per building (%),1.64
Podujevë,2024,Number of conventional dwellings,23055
Podujevë,2024,Number of vacant dwellings,6486
Podujevë,2011,uilding with at least one habitable conventional dwelling,12372
Podujevë,2011,Average number of dwellings per building (%),1.15
Podujevë,2011,Number of conventional dwellings,14194
Podujevë,2011,Number of vacant dwellings,3809
Prishtinë,2024,uilding with at least one habitable conventional dwelling,26134
Prishtinë,2024,Average number of dwellings per building (%),3.31
Prishtinë,2024,Number of conventional dwellings,86530
Prishtinë,2024,Number of vacant dwellings,25195
Prishtinë,2011,uilding with at least one habitable conventional dwelling,23641
Prishtinë,2011,Average number of dwellings per building (%),1.86
Prishtinë,2011,Number of conventional dwellings,43943
Prishtinë,2011,Number of vacant dwellings,15402
Prizren,2024,uilding with at least one habitable conventional dwelling,25472
Prizren,2024,Average number of dwellings per building (%),1.92
Prizren,2024,Number of conventional dwellings,48981
Prizren,2024,Number of vacant dwellings,16842
Prizren,2011,uilding with at least one habitable conventional dwelling,24338
Prizren,2011,Average number of dwellings per building (%),1.25
Prizren,2011,Number of conventional dwellings,30502
Prizren,2011,Number of vacant dwellings,9123
Skënderaj,2024,uilding with at least one habitable conventional dwelling,7166
Skënderaj,2024,Average number of dwellings per building (%),1.9
Skënderaj,2024,Number of conventional dwellings,13597
Skënderaj,2024,Number of vacant dwellings,4347
Skënderaj,2011,uilding with at least one habitable conventional dwelling,7070
Skënderaj,2011,Average number of dwellings per building (%),1.09
Skënderaj,2011,Number of conventional dwellings,7708
Skënderaj,2011,Number of vacant dwellings,2770
Shtime,2024,uilding with at least one habitable conventional dwelling,4616
Shtime,2024,Average number of dwellings per building (%),1.47
Shtime,2024,Number of conventional dwellings,6764
Shtime,2024,Number of vacant dwellings,1773
Shtime,2011,uilding with at least one habitable conventional dwelling,4030
Shtime,2011,Average number of dwellings per building (%),1.09
Shtime,2011,Number of conventional dwellings,4383
Shtime,2011,Number of vacant dwellings,1841
Shtërpcë,2024,uilding with at least one habitable conventional dwelling,2643
Shtërpcë,2024,Average number of dwellings per building (%),1.66
Shtërpcë,2024,Number of conventional dwellings,4397
Shtërpcë,2024,Number of vacant dwellings,1433
Shtërpcë,2011,uilding with at least one habitable conventional dwelling,1356
Shtërpcë,2011,Average number of dwellings per building (%),1.18
Shtërpcë,2011,Number of conventional dwellings,1603
Shtërpcë,2011,Number of vacant dwellings,619
Suharekë,2024,uilding with at least one habitable conventional dwelling,9210
Suharekë,2024,Average number of dwellings per building (%),1.85
Suharekë,2024,Number of conventional dwellings,17046
Suharekë,2024,Number of vacant dwellings,6929
Suharekë,2011,uilding with at least one habitable conventional dwelling,8603
Suharekë,2011,Average number of dwellings per building (%),1.24
Suharekë,2011,Number of conventional dwellings,10674
Suharekë,2011,Number of vacant dwellings,2059
Ferizaj,2024,uilding with at least one habitable conventional dwelling,18690
Ferizaj,2024,Average number of dwellings per building (%),2.11
Ferizaj,2024,Number of conventional dwellings,39501
Ferizaj,2024,Number of vacant dwellings,15228
Ferizaj,2011,uilding with at least one habitable conventional dwelling,16518
Ferizaj,2011,Average number of dwellings per building (%),1.12
Ferizaj,2011,Number of conventional dwellings,18456
Ferizaj,2011,Number of vacant dwellings,7094
Viti,2024,uilding with at least one habitable conventional dwelling,7344
Viti,2024,Average number of dwellings per building (%),1.75
Viti,2024,Number of conventional dwellings,12843
Viti,2024,Number of vacant dwellings,5031
Viti,2011,uilding with at least one habitable conventional dwelling,7163
Viti,2011,Average number of dwellings per building (%),1.17
Viti,2011,Number of conventional dwellings,8369
Viti,2011,Number of vacant dwellings,2861
Vushtrri,2024,uilding with at least one habitable conventional dwelling,11072
Vushtrri,2024,Average number of dwellings per building (%),1.82
Vushtrri,2024,Number of conventional dwellings,20160
Vushtrri,2024,Number of vacant dwellings,6476
Vushtrri,2011,uilding with at least one habitable conventional dwelling,10643
Vushtrri,2011,Average number of dwellings per building (%),1.14
Vushtrri,2011,Number of conventional dwellings,12107
Vushtrri,2011,Number of vacant dwellings,2985
Zubin Potok,2024,uilding with at least one habitable conventional dwelling,182
Zubin Potok,2024,Average number of dwellings per building (%),1.52
Zubin Potok,2024,Number of conventional dwellings,276
Zubin Potok,2024,Number of vacant dwellings,91
Zubin Potok,2011,uilding with at least one habitable conventional dwelling,NA
Zubin Potok,2011,Average number of dwellings per building (%),NA
Zubin Potok,2011,Number of conventional dwellings,NA
Zubin Potok,2011,Number of vacant dwellings,NA
Zveqan,2024,uilding with at least one habitable conventional dwelling,104
Zveqan,2024,Average number of dwellings per building (%),1.91
Zveqan,2024,Number of conventional dwellings,199
Zveqan,2024,Number of vacant dwellings,83
Zveqan,2011,uilding with at least one habitable conventional dwelling,NA
Zveqan,2011,Average number of dwellings per building (%),NA
Zveqan,2011,Number of conventional dwellings,NA
Zveqan,2011,Number of vacant dwellings,NA
Malishevë,2024,uilding with at least one habitable conventional dwelling,8094
Malishevë,2024,Average number of dwellings per building (%),1.56
Malishevë,2024,Number of conventional dwellings,12645
Malishevë,2024,Number of vacant dwellings,4232
Malishevë,2011,uilding with at least one habitable conventional dwelling,6678
Malishevë,2011,Average number of dwellings per building (%),1.09
Malishevë,2011,Number of conventional dwellings,7291
Malishevë,2011,Number of vacant dwellings,1681
Junik,2024,uilding with at least one habitable conventional dwelling,817
Junik,2024,Average number of dwellings per building (%),1.56
Junik,2024,Number of conventional dwellings,1277
Junik,2024,Number of vacant dwellings,413
Junik,2011,uilding with at least one habitable conventional dwelling,738
Junik,2011,Average number of dwellings per building (%),1.04
Junik,2011,Number of conventional dwellings,765
Junik,2011,Number of vacant dwellings,17
Mamushë,2024,uilding with at least one habitable conventional dwelling,757
Mamushë,2024,Average number of dwellings per building (%),1.13
Mamushë,2024,Number of conventional dwellings,859
Mamushë,2024,Number of vacant dwellings,79
Mamushë,2011,uilding with at least one habitable conventional dwelling,481
Mamushë,2011,Average number of dwellings per building (%),1.08
Mamushë,2011,Number of conventional dwellings,518
Mamushë,2011,Number of vacant dwellings,149
Hani i Elezit,2024,uilding with at least one habitable conventional dwelling,1468
Hani i Elezit,2024,Average number of dwellings per building (%),1.3
Hani i Elezit,2024,Number of conventional dwellings,1914
Hani i Elezit,2024,Number of vacant dwellings,279
Hani i Elezit,2011,uilding with at least one habitable conventional dwelling,1293
Hani i Elezit,2011,Average number of dwellings per building (%),1.14
Hani i Elezit,2011,Number of conventional dwellings,1473
Hani i Elezit,2011,Number of vacant dwellings,243
Graçanicë,2024,uilding with at least one habitable conventional dwelling,3161
Graçanicë,2024,Average number of dwellings per building (%),1.67
Graçanicë,2024,Number of conventional dwellings,5289
Graçanicë,2024,Number of vacant dwellings,1157
Graçanicë,2011,uilding with at least one habitable conventional dwelling,2190
Graçanicë,2011,Average number of dwellings per building (%),1.1
Graçanicë,2011,Number of conventional dwellings,2415
Graçanicë,2011,Number of vacant dwellings,962
Ranillug,2024,uilding with at least one habitable conventional dwelling,621
Ranillug,2024,Average number of dwellings per building (%),1.45
Ranillug,2024,Number of conventional dwellings,901
Ranillug,2024,Number of vacant dwellings,236
Ranillug,2011,uilding with at least one habitable conventional dwelling,920
Ranillug,2011,Average number of dwellings per building (%),1.02
Ranillug,2011,Number of conventional dwellings,941
Ranillug,2011,Number of vacant dwellings,447
Partesh,2024,uilding with at least one habitable conventional dwelling,855
Partesh,2024,Average number of dwellings per building (%),1.25
Partesh,2024,Number of conventional dwellings,1067
Partesh,2024,Number of vacant dwellings,174
Partesh,2011,uilding with at least one habitable conventional dwelling,411
Partesh,2011,Average number of dwellings per building (%),1.05
Partesh,2011,Number of conventional dwellings,433
Partesh,2011,Number of vacant dwellings,203
Kllokot,2024,uilding with at least one habitable conventional dwelling,651
Kllokot,2024,Average number of dwellings per building (%),1.37
Kllokot,2024,Number of conventional dwellings,893
Kllokot,2024,Number of vacant dwellings,203
Kllokot,2011,uilding with at least one habitable conventional dwelling,473
Kllokot,2011,Average number of dwellings per building (%),1.07
Kllokot,2011,Number of conventional dwellings,506
Kllokot,2011,Number of vacant dwellings,224
Mitrovicë e Veriut,2024,uilding with at least one habitable conventional dwelling,365
Mitrovicë e Veriut,2024,Average number of dwellings per building (%),2.28
Mitrovicë e Veriut,2024,Number of conventional dwellings,833
Mitrovicë e Veriut,2024,Number of vacant dwellings,154
Mitrovicë e Veriut,2011,uilding with at least one habitable conventional dwelling,NA
Mitrovicë e Veriut,2011,Average number of dwellings per building (%),NA
Mitrovicë e Veriut,2011,Number of conventional dwellings,NA
Mitrovicë e Veriut,2011,Number of vacant dwellings,NA
