component,year,month,freq,value,source_file,sheet,series_code,column,entry,variant,vintage,provisional,provisional_reason
remittances,2004,NA,annual,357,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-08,FALSE,NA
remittances,2005,NA,annual,418.02,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-08,FALSE,NA
remittances,2006,NA,annual,467.15,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-08,FALSE,NA
remittances,2007,NA,annual,588.5331733023289,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-08,FALSE,NA
remittances,2008,NA,annual,608.7208974220822,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-08,FALSE,NA
remittances,2009,NA,annual,585.6950810833681,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-08,FALSE,NA
remittances,2010,NA,annual,584.3270289766,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-08,FALSE,NA
remittances,2011,NA,annual,492.5233890762786,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-08,FALSE,NA
remittances,2012,NA,annual,516.3555060867394,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-08,FALSE,NA
remittances,2013,NA,annual,573.3924234432263,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-08,FALSE,NA
remittances,2014,NA,annual,622.2788801821025,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-08,FALSE,NA
remittances,2015,NA,annual,665.4869067088507,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-08,FALSE,NA
remittances,2016,NA,annual,690.9570559588526,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-08,FALSE,NA
remittances,2017,NA,annual,759.1885427504003,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-08,FALSE,NA
remittances,2018,NA,annual,800.4554206980118,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-08,FALSE,NA
remittances,2019,NA,annual,851.7475720463405,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-08,FALSE,NA
remittances,2020,NA,annual,980.1120144323588,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-08,FALSE,NA
remittances,2021,NA,annual,1153.4420032218243,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-08,TRUE,CBK services revision announced for September 2026
remittances,2022,NA,annual,1222.959738787726,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-08,TRUE,CBK services revision announced for September 2026
remittances,2023,NA,annual,1335.7617347693517,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-08,TRUE,CBK services revision announced for September 2026
remittances,2024,NA,annual,1355.0109741965643,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-08,TRUE,CBK services revision announced for September 2026
remittances,2025,NA,annual,1413.6938427110174,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-08,TRUE,"CBK annual figure preliminary; p marker carried in cell formatting, not machine-readable"
travel_credits,2004,NA,annual,73.42,27 Services.xls,BiP - Services,967.1BD000.C.X.N.6,19,credit,baseline,2026-08,FALSE,NA
travel_credits,2005,NA,annual,88.17999999999999,27 Services.xls,BiP - Services,967.1BD000.C.X.N.6,19,credit,baseline,2026-08,FALSE,NA
travel_credits,2006,NA,annual,109.26,27 Services.xls,BiP - Services,967.1BD000.C.X.N.6,19,credit,baseline,2026-08,FALSE,NA
travel_credits,2007,NA,annual,146.35795199999995,27 Services.xls,BiP - Services,967.1BD000.C.X.N.6,19,credit,baseline,2026-08,FALSE,NA
travel_credits,2008,NA,annual,177.61752838211083,27 Services.xls,BiP - Services,967.1BD000.C.X.N.6,19,credit,baseline,2026-08,FALSE,NA
travel_credits,2009,NA,annual,277.62524217161973,27 Services.xls,BiP - Services,967.1BD000.C.X.N.6,19,credit,baseline,2026-08,FALSE,NA
travel_credits,2010,NA,annual,327.7180919181751,27 Services.xls,BiP - Services,967.1BD000.C.X.N.6,19,credit,baseline,2026-08,FALSE,NA
travel_credits,2011,NA,annual,531.6368213665871,27 Services.xls,BiP - Services,967.1BD000.C.X.N.6,19,credit,baseline,2026-08,FALSE,NA
travel_credits,2012,NA,annual,636.8204191063201,27 Services.xls,BiP - Services,967.1BD000.C.X.N.6,19,credit,baseline,2026-08,FALSE,NA
travel_credits,2013,NA,annual,647.5213183697434,27 Services.xls,BiP - Services,967.1BD000.C.X.N.6,19,credit,baseline,2026-08,FALSE,NA
travel_credits,2014,NA,annual,665.5860254169886,27 Services.xls,BiP - Services,967.1BD000.C.X.N.6,19,credit,baseline,2026-08,FALSE,NA
travel_credits,2015,NA,annual,719.7448967612011,27 Services.xls,BiP - Services,967.1BD000.C.X.N.6,19,credit,baseline,2026-08,FALSE,NA
travel_credits,2016,NA,annual,901.4341820639057,27 Services.xls,BiP - Services,967.1BD000.C.X.N.6,19,credit,baseline,2026-08,FALSE,NA
travel_credits,2017,NA,annual,1112.1043488352595,27 Services.xls,BiP - Services,967.1BD000.C.X.N.6,19,credit,baseline,2026-08,FALSE,NA
travel_credits,2018,NA,annual,1228.1892508695314,27 Services.xls,BiP - Services,967.1BD000.C.X.N.6,19,credit,baseline,2026-08,FALSE,NA
travel_credits,2019,NA,annual,1321.3653083752272,27 Services.xls,BiP - Services,967.1BD000.C.X.N.6,19,credit,baseline,2026-08,FALSE,NA
travel_credits,2020,NA,annual,628.0178460344106,27 Services.xls,BiP - Services,967.1BD000.C.X.N.6,19,credit,baseline,2026-08,FALSE,NA
travel_credits,2021,NA,annual,1490.0945145853302,27 Services.xls,BiP - Services,967.1BD000.C.X.N.6,19,credit,baseline,2026-08,TRUE,CBK services revision announced for September 2026
travel_credits,2022,NA,annual,1875.273837481384,27 Services.xls,BiP - Services,967.1BD000.C.X.N.6,19,credit,baseline,2026-08,TRUE,CBK services revision announced for September 2026
travel_credits,2023,NA,annual,2206.984851875772,27 Services.xls,BiP - Services,967.1BD000.C.X.N.6,19,credit,baseline,2026-08,TRUE,CBK services revision announced for September 2026
travel_credits,2024,NA,annual,2425.2492331586272,27 Services.xls,BiP - Services,967.1BD000.C.X.N.6,19,credit,baseline,2026-08,TRUE,CBK services revision announced for September 2026
travel_credits,2025,NA,annual,3224.335671895354,27 Services.xls,BiP - Services,967.1BD000.C.X.N.6,19,credit,baseline,2026-08,TRUE,"CBK annual figure preliminary; p marker carried in cell formatting, not machine-readable"
compensation_employees,2004,NA,annual,142.26000000000002,28 Primary Income.xls,BiP - Të ardhurat parësore,967.1CA000.B.X.A.6,3,net (credit - debit),baseline,2026-08,FALSE,NA
compensation_employees,2005,NA,annual,145.2,28 Primary Income.xls,BiP - Të ardhurat parësore,967.1CA000.B.X.A.6,3,net (credit - debit),baseline,2026-08,FALSE,NA
compensation_employees,2006,NA,annual,146.53,28 Primary Income.xls,BiP - Të ardhurat parësore,967.1CA000.B.X.A.6,3,net (credit - debit),baseline,2026-08,FALSE,NA
compensation_employees,2007,NA,annual,154.86,28 Primary Income.xls,BiP - Të ardhurat parësore,967.1CA000.B.X.A.6,3,net (credit - debit),baseline,2026-08,FALSE,NA
compensation_employees,2008,NA,annual,175.42,28 Primary Income.xls,BiP - Të ardhurat parësore,967.1CA000.B.X.A.6,3,net (credit - debit),baseline,2026-08,FALSE,NA
compensation_employees,2009,NA,annual,168.71,28 Primary Income.xls,BiP - Të ardhurat parësore,967.1CA000.B.X.A.6,3,net (credit - debit),baseline,2026-08,FALSE,NA
compensation_employees,2010,NA,annual,171.60921223638377,28 Primary Income.xls,BiP - Të ardhurat parësore,967.1CA000.B.X.A.6,3,net (credit - debit),baseline,2026-08,FALSE,NA
compensation_employees,2011,NA,annual,208.2116163074622,28 Primary Income.xls,BiP - Të ardhurat parësore,967.1CA000.B.X.A.6,3,net (credit - debit),baseline,2026-08,FALSE,NA
compensation_employees,2012,NA,annual,214.2580147615626,28 Primary Income.xls,BiP - Të ardhurat parësore,967.1CA000.B.X.A.6,3,net (credit - debit),baseline,2026-08,FALSE,NA
compensation_employees,2013,NA,annual,218.894936844641,28 Primary Income.xls,BiP - Të ardhurat parësore,967.1CA000.B.X.A.6,3,net (credit - debit),baseline,2026-08,FALSE,NA
compensation_employees,2014,NA,annual,200.3987285460607,28 Primary Income.xls,BiP - Të ardhurat parësore,967.1CA000.B.X.A.6,3,net (credit - debit),baseline,2026-08,FALSE,NA
compensation_employees,2015,NA,annual,205.6733654979705,28 Primary Income.xls,BiP - Të ardhurat parësore,967.1CA000.B.X.A.6,3,net (credit - debit),baseline,2026-08,FALSE,NA
compensation_employees,2016,NA,annual,194.20487941361841,28 Primary Income.xls,BiP - Të ardhurat parësore,967.1CA000.B.X.A.6,3,net (credit - debit),baseline,2026-08,FALSE,NA
compensation_employees,2017,NA,annual,217.26193125984517,28 Primary Income.xls,BiP - Të ardhurat parësore,967.1CA000.B.X.A.6,3,net (credit - debit),baseline,2026-08,FALSE,NA
compensation_employees,2018,NA,annual,237.043697827977,28 Primary Income.xls,BiP - Të ardhurat parësore,967.1CA000.B.X.A.6,3,net (credit - debit),baseline,2026-08,FALSE,NA
