component,year,quarter,month,freq,value,source_file,sheet,series_code,column,entry,variant,vintage,cbk_prelim,provisional,provisional_reason,sub_annual_discrepancy,discrepancy_reason
remittances,2009,1,NA,quarterly,121.83601289383704,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-09,FALSE,FALSE,NA,FALSE,NA
remittances,2009,2,NA,quarterly,142.22061619902257,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-09,FALSE,FALSE,NA,FALSE,NA
remittances,2009,3,NA,quarterly,174.74441655848076,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-09,FALSE,FALSE,NA,FALSE,NA
remittances,2009,4,NA,quarterly,146.89403543202772,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-09,FALSE,FALSE,NA,FALSE,NA
remittances,2010,1,NA,quarterly,120.68922608204092,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-09,FALSE,FALSE,NA,FALSE,NA
remittances,2010,2,NA,quarterly,145,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-09,FALSE,FALSE,NA,FALSE,NA
remittances,2010,3,NA,quarterly,165,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-09,FALSE,FALSE,NA,FALSE,NA
remittances,2010,4,NA,quarterly,153.63780289455906,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-09,FALSE,FALSE,NA,FALSE,NA
remittances,2011,1,NA,quarterly,117.57374796049193,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-09,FALSE,FALSE,NA,FALSE,NA
remittances,2011,2,NA,quarterly,115.34074799972439,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-09,FALSE,FALSE,NA,FALSE,NA
remittances,2011,3,NA,quarterly,128.24612213178827,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-09,FALSE,FALSE,NA,FALSE,NA
remittances,2011,4,NA,quarterly,131.36277098427396,29 Secondary Income.xls,BiP - Të ardhurat dytësore,967.1DF00Z.c.O.A.6,9,credit,baseline,2026-09,FALSE,FALSE,NA,FALSE,NA
