year,gdp_eur_m,exports_gs_eur_m,source
2008,3537.599,608.138,"ASK gdp13.px (expenditure, current prices), EUR million"
2009,3610.441,694.207,"ASK gdp13.px (expenditure, current prices), EUR million"
2010,4030.991,873.482,"ASK gdp13.px (expenditure, current prices), EUR million"
2011,4555.903,1136.791,"ASK gdp13.px (expenditure, current prices), EUR million"
2012,4797.278,1176.386,"ASK gdp13.px (expenditure, current prices), EUR million"
2013,5071.333,1166.602,"ASK gdp13.px (expenditure, current prices), EUR million"
2014,5325.095,1252.829,"ASK gdp13.px (expenditure, current prices), EUR million"
2015,5674.422,1273.987,"ASK gdp13.px (expenditure, current prices), EUR million"
2016,6037.273,1438.525,"ASK gdp13.px (expenditure, current prices), EUR million"
2017,6356.456,1737.146,"ASK gdp13.px (expenditure, current prices), EUR million"
2018,6671.522,1938.308,"ASK gdp13.px (expenditure, current prices), EUR million"
2019,7056.172,2068.348,"ASK gdp13.px (expenditure, current prices), EUR million"
2020,6771.601,1469.109,"ASK gdp13.px (expenditure, current prices), EUR million"
2021,7957.876,2658.661,"ASK gdp13.px (expenditure, current prices), EUR million"
2022,8895.728,3436.033,"ASK gdp13.px (expenditure, current prices), EUR million"
2023,9680.068,3837.225,"ASK gdp13.px (expenditure, current prices), EUR million"
2024,10350.373,4321.109,"ASK gdp13.px (expenditure, current prices), EUR million"
