Variables,Year,Gross Domestic Product in current prices
GDP at current prices,2024,10350373
GDP at current prices,2023,9680068
GDP at current prices,2022,8895728
GDP at current prices,2021,7957876
GDP at current prices,2020,6771601
GDP at current prices,2019,7056172
GDP at current prices,2018,6671522
GDP at current prices,2017,6356456
GDP at current prices,2016,6037273
GDP at current prices,2015,5674422
GDP at current prices,2014,5325095
GDP at current prices,2013,5071333
GDP at current prices,2012,4797278
GDP at current prices,2011,4555903
GDP at current prices,2010,4030991
GDP at current prices,2009,3610441
GDP at current prices,2008,3537599
Final consumption expenditure,2024,9970286
Final consumption expenditure,2023,9363073
Final consumption expenditure,2022,8675832
Final consumption expenditure,2021,7629126
Final consumption expenditure,2020,6691127
Final consumption expenditure,2019,6531898
Final consumption expenditure,2018,6132036
Final consumption expenditure,2017,5788176
Final consumption expenditure,2016,5665497
Final consumption expenditure,2015,5599815
Final consumption expenditure,2014,5440985
Final consumption expenditure,2013,5025585
Final consumption expenditure,2012,4817344
Final consumption expenditure,2011,4564574
Final consumption expenditure,2010,4261187
Final consumption expenditure,2009,3851627
Final consumption expenditure,2008,3716802
Final consumption of households,2024,8647846
Final consumption of households,2023,8108336
Final consumption of households,2022,7593194
Final consumption of households,2021,6572460
Final consumption of households,2020,5717999
Final consumption of households,2019,5621187
Final consumption of households,2018,5296106
Final consumption of households,2017,5008972
Final consumption of households,2016,4910457
Final consumption of households,2015,4803698
Final consumption of households,2014,4693698
Final consumption of households,2013,4346030
Final consumption of households,2012,4170216
Final consumption of households,2011,3959734
Final consumption of households,2010,3740262
Final consumption of households,2009,3418480
Final consumption of households,2008,3335054
Final consumption of Government,2024,1284734
Final consumption of Government,2023,1219624
Final consumption of Government,2022,1048960
Final consumption of Government,2021,1024364
Final consumption of Government,2020,942145
Final consumption of Government,2019,880994
Final consumption of Government,2018,807427
Final consumption of Government,2017,751521
Final consumption of Government,2016,729593
Final consumption of Government,2015,772181
Final consumption of Government,2014,723527
Final consumption of Government,2013,656588
Final consumption of Government,2012,624563
Final consumption of Government,2011,578302
Final consumption of Government,2010,494925
Final consumption of Government,2009,408147
Final consumption of Government,2008,358189
Government of Kosovo,2024,1284734
Government of Kosovo,2023,1219624
Government of Kosovo,2022,1048960
Government of Kosovo,2021,1024364
Government of Kosovo,2020,942145
Government of Kosovo,2019,880994
Government of Kosovo,2018,807427
Government of Kosovo,2017,751521
Government of Kosovo,2016,729593
Government of Kosovo,2015,772181
Government of Kosovo,2014,723527
Government of Kosovo,2013,656588
Government of Kosovo,2012,624563
Government of Kosovo,2011,578302
Government of Kosovo,2010,494925
Government of Kosovo,2009,408147
Government of Kosovo,2008,358189
Final Consumption expenditure of NPISH,2024,37706
Final Consumption expenditure of NPISH,2023,35112
Final Consumption expenditure of NPISH,2022,33678
Final Consumption expenditure of NPISH,2021,32302
Final Consumption expenditure of NPISH,2020,30983
Final Consumption expenditure of NPISH,2019,29717
Final Consumption expenditure of NPISH,2018,28504
Final Consumption expenditure of NPISH,2017,27683
Final Consumption expenditure of NPISH,2016,25447
Final Consumption expenditure of NPISH,2015,23935
Final Consumption expenditure of NPISH,2014,23759
Final Consumption expenditure of NPISH,2013,22968
Final Consumption expenditure of NPISH,2012,22564
Final Consumption expenditure of NPISH,2011,26538
Final Consumption expenditure of NPISH,2010,26000
Final Consumption expenditure of NPISH,2009,25000
Final Consumption expenditure of NPISH,2008,23560
Gross capital formation,2024,3515518
Gross capital formation,2023,3285960
Gross capital formation,2022,3134200
Gross capital formation,2021,2860950
Gross capital formation,2020,2262130
Gross capital formation,2019,2438486
Gross capital formation,2018,2421399
Gross capital formation,2017,2205223
Gross capital formation,2016,2023815
Gross capital formation,2015,1726867
Gross capital formation,2014,1482827
Gross capital formation,2013,1521291
Gross capital formation,2012,1530412
Gross capital formation,2011,1642738
Gross capital formation,2010,1335405
Gross capital formation,2009,1177712
Gross capital formation,2008,1318947
Gross fixed capital formation,2024,3275415
Gross fixed capital formation,2023,3047335
Gross fixed capital formation,2022,2891539
Gross fixed capital formation,2021,2616607
Gross fixed capital formation,2020,2011585
Gross fixed capital formation,2019,2190422
Gross fixed capital formation,2018,2115624
Gross fixed capital formation,2017,1904364
Gross fixed capital formation,2016,1691136
Gross fixed capital formation,2015,1603994
Gross fixed capital formation,2014,1464657
Gross fixed capital formation,2013,1478859
Gross fixed capital formation,2012,1472566
Gross fixed capital formation,2011,1419536
Gross fixed capital formation,2010,1250058
Gross fixed capital formation,2009,1109674
Gross fixed capital formation,2008,1052947
Changes on inventories,2024,240103
Changes on inventories,2023,238625
Changes on inventories,2022,242661
Changes on inventories,2021,244343
Changes on inventories,2020,250545
Changes on inventories,2019,248064
Changes on inventories,2018,305774
Changes on inventories,2017,300859
Changes on inventories,2016,332678
Changes on inventories,2015,122873
Changes on inventories,2014,18169
Changes on inventories,2013,42432
Changes on inventories,2012,57847
Changes on inventories,2011,223202
Changes on inventories,2010,85348
Changes on inventories,2009,68038
Changes on inventories,2008,266000
Net export,2024,-3135431
Net export,2023,-2968964
Net export,2022,-2914305
Net export,2021,-2532201
Net export,2020,-2181655
Net export,2019,-1914212
Net export,2018,-1881913
Net export,2017,-1636942
Net export,2016,-1652039
Net export,2015,-1652259
Net export,2014,-1598716
Net export,2013,-1475543
Net export,2012,-1550478
Net export,2011,-1651409
Net export,2010,-1565602
Net export,2009,-1418898
Net export,2008,-1498150
Exports of goods and services,2024,4321109
Exports of goods and services,2023,3837225
Exports of goods and services,2022,3436033
Exports of goods and services,2021,2658661
Exports of goods and services,2020,1469109
Exports of goods and services,2019,2068348
Exports of goods and services,2018,1938308
Exports of goods and services,2017,1737146
Exports of goods and services,2016,1438525
Exports of goods and services,2015,1273987
Exports of goods and services,2014,1252829
Exports of goods and services,2013,1166602
Exports of goods and services,2012,1176386
Exports of goods and services,2011,1136791
Exports of goods and services,2010,873482
Exports of goods and services,2009,694207
Exports of goods and services,2008,608138
Exports of goods,2024,956210
Exports of goods,2023,870703
Exports of goods,2022,931505
Exports of goods,2021,752682
Exports of goods,2020,475106
Exports of goods,2019,393218
Exports of goods,2018,376725
Exports of goods,2017,378390
Exports of goods,2016,307919
Exports of goods,2015,322461
