vintage,file,label,url,downloaded_utc,last_modified,bytes,md5,newly_fetched
2026-08,26 Balance of payments - main components.xls,Balance of Payments (BOP) - main components,https://bqk-kos.org/repository/docs/time_series/26%20Balance%20of%20payments%20-%20main%20components.xls,2026-08-13 17:06:07,"Fri, 31 Jul 2026 07:19:14 GMT",942080,42681e9634b3d0d276507eadb416a4c7,FALSE
2026-08,26a Current account.xls,BOP current account,https://bqk-kos.org/repository/docs/time_series/26a%20Current%20account.xls,2026-08-13 17:06:12,"Fri, 31 Jul 2026 07:19:33 GMT",941056,786e90aca55229ff96539e7c9791b278,FALSE
2026-08,27 Services.xls,Services,https://bqk-kos.org/repository/docs/time_series/27%20Services.xls,2026-08-13 17:06:17,"Thu, 30 Jul 2026 12:48:28 GMT",966144,5eabc30afab52c1a8c3c511d07fd7605,FALSE
2026-08,27.1 Services by country and activity.xls,Services by country and activity,https://bqk-kos.org/repository/docs/time_series/27.1%20Services%20by%20country%20and%20activity.xls,2026-08-13 17:06:21,"Wed, 01 Oct 2025 13:23:09 GMT",456192,3463a2125897767bb45b85f52231c88f,FALSE
2026-08,28 Primary Income.xls,Primary income,https://bqk-kos.org/repository/docs/time_series/28%20Primary%20Income.xls,2026-08-13 17:06:26,"Thu, 30 Jul 2026 12:49:53 GMT",926208,0959ccf7e5500d5c6463585e74e4c1f5,FALSE
2026-08,29 Secondary Income.xls,Secondary income,https://bqk-kos.org/repository/docs/time_series/29%20Secondary%20Income.xls,2026-08-13 17:06:30,"Thu, 30 Jul 2026 12:51:03 GMT",947200,e8737852c1ab6eb81bdc03c25e6b7186,FALSE
2026-08,30 Financial account.xls,Financial account,https://bqk-kos.org/repository/docs/time_series/30%20Financial%20account.xls,2026-08-13 17:06:34,"Tue, 11 Aug 2026 09:40:27 GMT",856576,eac783e1ffd402ba2628cd28a2a15926,FALSE
2026-08,31 Remittances-by channel.xls,Remittances inflows - by channel,https://bqk-kos.org/repository/docs/time_series/31%20Remittances-by%20channel.xls,2026-08-13 17:06:39,"Fri, 31 Jul 2026 07:20:19 GMT",168448,df230b5fc48f2bf6d4bb78ef843224b1,FALSE
2026-08,32 Remittances-by country.xls,Remittances inflows - by country,https://bqk-kos.org/repository/docs/time_series/32%20Remittances-by%20country.xls,2026-08-13 17:06:43,"Thu, 30 Jul 2026 12:39:30 GMT",735232,aa4e975c1ec2aded2885c1aaa3b7876b,FALSE
2026-08,33.1 Direct_investment_flows_In_&_Out.xls,Foreign direct investment - by financial instruments,https://bqk-kos.org/repository/docs/time_series/33.1%20Direct_investment_flows_In_&_Out.xls,2026-08-13 17:06:48,"Thu, 30 Jul 2026 13:25:21 GMT",919552,1e44efb4041cfff12ff6f7666f09ea8f,FALSE
2026-08,34 Foreign direct investments - by country.xls,Foreign direct investment - by country,https://bqk-kos.org/repository/docs/time_series/34%20Foreign%20direct%20investments%20-%20by%20country.xls,2026-08-13 17:06:52,"Thu, 30 Jul 2026 14:11:12 GMT",832512,0c5158a8b3d3e1f0fbb6a99f5ee9dce1,FALSE
2026-08,34a Direct investment in Kosovo by geographical breakdown.xls,Direct investment in Kosovo by geographical breakdown,https://bqk-kos.org/repository/docs/time_series/34a%20Direct%20investment%20in%20Kosovo%20by%20geographical%20breakdown.xls,2026-08-13 17:06:57,"Mon, 29 Jun 2026 12:38:57 GMT",646656,c17b4b08475f4e28a525c7351df06f00,FALSE
2026-08,Metodologjia-e-perpilimit-te-BP-dhe-PIN.pdf,"CBK BOP/IIP compilation methodology (documentation, not a pipeline input)",https://bqk-kos.org/wp-content/uploads/2025/07/Metodologjia-e-perpilimit-te-BP-dhe-PIN.pdf,2026-08-13 17:07:01,"Fri, 11 Jul 2025 14:29:18 GMT",723861,7c2ddb7184fa6d707614ae8ea206db2e,FALSE
