geo,poverty,year,value
AL,below_at_risk_of_poverty,2017,52.4
AL,below_at_risk_of_poverty,2018,44.1
AL,below_at_risk_of_poverty,2019,53.8
AL,below_at_risk_of_poverty,2020,57.5
AL,below_at_risk_of_poverty,2021,73
AL,below_at_risk_of_poverty,2022,54.1
AL,below_at_risk_of_poverty,2023,55.9
AL,total,2017,38.7
AL,total,2018,33.3
AL,total,2019,36.8
AL,total,2020,35.8
AL,total,2021,37.7
AL,total,2022,34.7
AL,total,2023,33.8
EU27_2020,below_at_risk_of_poverty,2010,22.4
EU27_2020,below_at_risk_of_poverty,2011,23.4
EU27_2020,below_at_risk_of_poverty,2012,25.2
EU27_2020,below_at_risk_of_poverty,2013,24.5
EU27_2020,below_at_risk_of_poverty,2014,23.9
EU27_2020,below_at_risk_of_poverty,2015,23.3
EU27_2020,below_at_risk_of_poverty,2016,21.8
EU27_2020,below_at_risk_of_poverty,2017,19.3
EU27_2020,below_at_risk_of_poverty,2018,19
EU27_2020,below_at_risk_of_poverty,2019,18.2
EU27_2020,below_at_risk_of_poverty,2020,18.2
EU27_2020,below_at_risk_of_poverty,2021,16.4
EU27_2020,below_at_risk_of_poverty,2022,20.1
EU27_2020,below_at_risk_of_poverty,2023,22.1
EU27_2020,below_at_risk_of_poverty,2024,19.7
EU27_2020,below_at_risk_of_poverty,2025,19.6
EU27_2020,total,2010,9.9
EU27_2020,total,2011,10.3
EU27_2020,total,2012,11.2
EU27_2020,total,2013,10.8
EU27_2020,total,2014,10.4
EU27_2020,total,2015,9.6
EU27_2020,total,2016,9
EU27_2020,total,2017,8.1
EU27_2020,total,2018,7.6
EU27_2020,total,2019,6.9
EU27_2020,total,2020,7.5
EU27_2020,total,2021,6.9
EU27_2020,total,2022,9.3
EU27_2020,total,2023,10.6
EU27_2020,total,2024,9.2
EU27_2020,total,2025,8.8
ME,below_at_risk_of_poverty,2013,23.1
ME,below_at_risk_of_poverty,2014,12.5
ME,below_at_risk_of_poverty,2015,17.9
ME,below_at_risk_of_poverty,2016,19.2
ME,below_at_risk_of_poverty,2017,16.5
ME,below_at_risk_of_poverty,2018,36
ME,below_at_risk_of_poverty,2019,27.3
ME,below_at_risk_of_poverty,2020,33.1
ME,below_at_risk_of_poverty,2021,29.4
ME,below_at_risk_of_poverty,2022,29.6
ME,below_at_risk_of_poverty,2023,17.2
ME,total,2013,12.4
ME,total,2014,8.6
ME,total,2015,8.6
ME,total,2016,6.3
ME,total,2017,4.5
ME,total,2018,11.2
ME,total,2019,10.3
ME,total,2020,13.2
ME,total,2021,18
ME,total,2022,13.9
ME,total,2023,13.3
MK,below_at_risk_of_poverty,2010,49
MK,below_at_risk_of_poverty,2011,48.9
MK,below_at_risk_of_poverty,2012,45.9
MK,below_at_risk_of_poverty,2013,41.2
MK,below_at_risk_of_poverty,2014,51
MK,below_at_risk_of_poverty,2015,44.2
MK,below_at_risk_of_poverty,2016,39
MK,below_at_risk_of_poverty,2017,33.8
MK,below_at_risk_of_poverty,2018,37.7
MK,below_at_risk_of_poverty,2019,46.7
MK,below_at_risk_of_poverty,2020,39.6
MK,below_at_risk_of_poverty,2021,39.7
MK,below_at_risk_of_poverty,2022,44
MK,below_at_risk_of_poverty,2023,44.3
MK,below_at_risk_of_poverty,2024,37.6
MK,total,2010,28.8
MK,total,2011,26.7
MK,total,2012,26.8
MK,total,2013,26.4
MK,total,2014,26.1
MK,total,2015,23.4
MK,total,2016,25.7
