DATAFLOW,LAST UPDATE,freq,hhcomp,rskpovth,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,AL,2017,49.4,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,AL,2018,45.4,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,AL,2019,51.8,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,AL,2020,45.6,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,AL,2021,36.5,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,AL,2022,48.6,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,AL,2023,44.7,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,AT,2003,3.7,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,AT,2004,3.9,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,AT,2005,3.4,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,AT,2006,2.8,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,AT,2007,2.3,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,AT,2008,3.9,b,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,AT,2009,4.0,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,AT,2010,3.1,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,AT,2011,3.0,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,AT,2012,3.2,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,AT,2013,3.3,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,AT,2014,4.5,,
